tweet_id,favorites,retweets
872122724285648897,30098,6802
871879754684805121,32965,9211
871762521631449091,17813,2958
871515927908634625,17844,2924
871166179821445120,0,4878
871102520638267392,18486,4652
871032628920680449,20090,3213
870804317367881728,29699,5265
870726314365509632,105,3
870656317836468226,10855,2190
870374049280663552,73713,22655
870308999962521604,19416,3534
870063196459192321,32310,7050
869772420881756160,37889,8659
869702957897576449,24962,5362
869596645499047938,14142,2629
869227993411051520,18082,3188
868880397819494401,57745,12199
868639477480148993,0,1742
868622495443632128,23568,4443
868552278524837888,8930,1742
867900495410671616,21525,3554
867774946302451713,30162,6229
867421006826221569,14294,2109
867072653475098625,0,100
867051520902168576,28604,6755
866720684873056260,17798,4118
866686824827068416,17064,2953
866450705531457537,108488,30053
866334964761202691,46423,12159
866094527597207552,0,7133
865718153858494464,22857,4813
865359393868664832,23512,4270
865006731092295680,24954,6633
864873206498414592,28747,7474
864279568663928832,13033,2571
864197398364647424,26549,7554
863907417377173506,18374,3577
863553081350529029,13627,3612
863471782782697472,0,2084
863432100342583297,21221,4542
863427515083354112,1956,80
863079547188785154,7878,949
863062471531167744,7500,2084
862831371563274240,17178,4442
862722525377298433,15286,3075
862457590147678208,18215,4231
862096992088072192,66041,19903
861383897657036800,32180,9227
861288531465048066,15305,3574
861005113778896900,14939,3319
860981674716409858,0,1850
860924035999428608,0,675
860563773140209665,6698,1850
860524505164394496,21192,4582
860276583193509888,16525,3056
860184849394610176,14954,5103
860177593139703809,0,26607
859924526012018688,17569,3573
859851578198683649,13946,3057
859607811541651456,16787,1359
859196978902773760,80289,26174
859074603037188101,30332,11918
858860390427611136,0,7047
858843525470990336,14087,3018
858471635011153920,19418,4241
858107933456039936,14189,2532
857989990357356544,14450,2259
857746408056729600,30702,9312
857393404942143489,5289,1437
857263160327368704,18204,3959
857214891891077121,203,16
857062103051644929,0,146
857029823797047296,17001,3471
856543823941562368,14784,2534
856526610513747968,10791,1651
856288084350160898,489,15
856282028240666624,25165,5564
855862651834028034,302,21
855860136149123072,4395,849
855857698524602368,10834,1853
855851453814013952,41806,16076
855818117272018944,24215,4798
855459453768019968,27024,7281
855245323840757760,0,5245
855138241867124737,0,36
854732716440526848,20621,5325
854482394044301312,26491,6000
854365224396361728,17151,4132
854120357044912130,29150,6569
854010172552949760,14797,2784
853760880890318849,26008,5103
853639147608842240,31447,8835
853299958564483072,14128,3160
852936405516943360,0,1782
852912242202992640,8226,1591
852672615818899456,13610,1903
852553447878664193,14854,3100
852311364735569921,30270,8838
852226086759018497,18301,6071
852189679701164033,10554,1414
851591660324737024,14921,3118
851464819735769094,22220,6290
851224888060895234,18989,5157
850753642995093505,28059,8052
850380195714523136,12047,2325
850333567704068097,3184,301
850145622816686080,15006,3385
850019790995546112,18732,4354
849776966551130114,27854,6795
849668094696017920,0,4432
849412302885593088,14642,2821
849336543269576704,10531,1683
849051919805034497,38913,7603
848690551926992896,23221,3913
848324959059550208,22768,4141
848213670039564288,7526,644
848212111729840128,14999,2711
847978865427394560,0,2912
847971574464610304,0,394
847962785489326080,21693,4559
847842811428974592,5002,1186
847617282490613760,6455,376
847606175596138505,17314,3075
847251039262605312,18923,3907
847157206088847362,18335,5242
847116187444137987,19832,2869
846874817362120707,18581,3541
846514051647705089,41079,10346
846505985330044928,13033,2752
846153765933735936,29022,8146
846139713627017216,28741,9141
846042936437604353,14772,2581
845812042753855489,26953,7842
845677943972139009,23390,4371
845397057150107648,7073,1616
845306882940190720,21567,4844
845098359547420673,0,6923
844979544864018432,12651,2306
844973813909606400,13903,2840
844580511645339650,15261,2806
844223788422217728,12671,1985
843981021012017153,14077,2697
843856843873095681,19915,4160
843604394117681152,15656,2475
843235543001513987,19918,5384
842846295480000512,14188,3310
842765311967449089,6281,1175
842535590457499648,16875,3165
842163532590374912,22679,5245
842115215311396866,13004,2754
841833993020538882,0,13527
841680585030541313,23988,7138
841439858740625411,11701,3305
841320156043304961,18380,5008
841314665196081154,14711,4221
841077006473256960,21296,4878
840761248237133825,0,1619
840728873075638272,0,14562
840698636975636481,163,2
840696689258311684,11453,889
840632337062862849,8408,1619
840370681858686976,15309,4170
840268004936019968,17847,5204
839990271299457024,12504,2063
839549326359670784,25515,7047
839290600511926273,0,132
839239871831150596,25175,5917
838952994649550848,18332,3655
838921590096166913,10395,1852
838916489579200512,0,31
838831947270979586,0,9997
838561493054533637,10224,1229
838476387338051585,20932,4331
838201503651401729,0,9155
838150277551247360,1565,301
838085839343206401,133,1
838083903487373313,16429,2831
837820167694528512,31762,7133
837482249356513284,3596,405
837471256429613056,11963,2058
837110210464448512,15049,2173
836989968035819520,11923,2107
836753516572119041,18086,4254
836677758902222849,11823,2019
836648853927522308,0,506
836397794269200385,0,25007
836380477523124226,13877,2744
836260088725786625,19913,3973
836001077879255040,17855,3878
835685285446955009,0,7401
835574547218894849,16605,3291
835536468978302976,0,1539
835309094223372289,0,19102
835297930240217089,15399,2733
835264098648616962,7215,1539
835246439529840640,1987,63
835172783151792128,24515,5284
835152434251116546,20899,2755
834931633769889797,10076,1486
834786237630337024,20176,5102
834574053763584002,12786,2304
834477809192075265,0,9741
834458053273591808,9016,1543
834209720923721728,19202,4316
834167344700198914,14808,3353
834089966724603904,9428,1960
834086379323871233,12216,2036
833863086058651648,12593,2203
833826103416520705,17042,3482
833732339549220864,0,203
833722901757046785,19637,2990
833479644947025920,13977,1883
833124694597443584,18950,4432
832998151111966721,12400,2006
832769181346996225,0,38
832757312314028032,15818,3312
832682457690300417,11113,2659
832645525019123713,2730,484
832636094638288896,14858,2552
832397543355072512,11216,2034
832369877331693569,16038,2912
832273440279240704,10632,2139
832215909146226688,0,5703
832215726631055365,0,8562
832088576586297345,59,2
832040443403784192,0,8796
832032802820481025,16732,4291
831939777352105988,22428,5642
831926988323639298,319,34
831911600680497154,25767,5955
831670449226514432,9764,1684
831650051525054464,6664,1782
831552930092285952,8438,2152
831322785565769729,8730,1437
831315979191906304,6161,1035
831309418084069378,11060,2256
831262627380748289,11127,1883
